,State/Union Territory,Lok Sabha seats,Reserved for the Scheduled Castes,Reserved for the Scheduled Tribes
0,Andhra Pradesh,25,4,1
1,Arunachal Pradesh,2,-,-
2,Assam,14,1,2
3,Bihar,40,6,-
4,Chhattisgarh,11,1,4
5,Goa,2,-,-
6,Gujarat,26,2,4
7,Haryana,10,2,-
8,Himachal Pradesh,4,1,-
9,Jharkhand,14,1,5
10,Karnataka,28,5,2
11,Kerala,20,2,-
12,Madhya Pradesh,29,4,6
13,Maharashtra,48,5,4
14,Manipur,2,-,1
15,Meghalaya,2,-,2
16,Mizoram,1,-,1
17,Nagaland,1,-,-
18,Odisha,21,3,5
19,Punjab,13,4,-
20,Rajasthan,25,4,3
21,Sikkim,1,-,-
22,Tamil Nadu,39,7,-
23,Telangana,17,3,2
24,Tripura,2,-,1
25,Uttar Pradesh,80,17,-
26,Uttarakhand,5,1,-
27,West Bengal,42,10,2
28,Andaman and Nicobar Islands,1,-,-
29,Chandigarh,1,-,-
30,Dadra and Nagar Haveli and Daman and Diu,2,-,1
31,Jammu and Kashmir,5,-,-
32,Ladakh,1,-,-
33,Lakshadweep,1,-,1
34,NCT of Delhi,7,1,-
35,Puducherry,1,-,-
36,Total,543,84,47
